,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
186228,1947961225,Brass ~ An Industrial Revolution,Tabletop Games,Games,CAD,2017-05-12,80000.0,2017-04-17 17:59:17,1718708.0,successful,13699,CA,99129.09,1251061.29,58232.64
161213,1820021233,Ontario: A Photographic Essay (Canceled),Public Art,Art,CAD,2015-07-26,5000.0,2015-05-27 01:09:04,0.0,canceled,0,CA,0.0,0.0,3832.0
153252,1778881226,Organic Protein Pills & Powders made with Alga,Food,Food,EUR,2017-05-21,10000.0,2017-03-22 10:56:26,21.0,failed,2,FR,43.02,23.51,11195.95
132546,1672669756,"Create animations easily in your browser, with Animake It!",Web,Technology,USD,2014-06-15,10000.0,2014-05-16 09:07:22,4175.0,failed,93,US,4175.0,4175.0,10000.0
344252,823404681,Spooky Things: The Art of Chris Raimo,Art Books,Publishing,USD,2017-03-26,15500.0,2017-02-24 20:49:52,6604.0,failed,138,US,2165.0,6604.0,15500.0
118702,1603037721,"""Sponsor a Dancer"": After School Dance for High School Students in San Diego ",Dance,Dance,USD,2010-08-03,2000.0,2010-07-02 23:24:09,2542.66,successful,42,US,2542.66,2542.66,2000.0
182533,1929210522,Channel 47 News,Art,Art,USD,2015-09-13,5000.0,2015-08-14 12:26:23,150.0,failed,2,US,150.0,150.0,5000.0
87848,144662904,Swamp monster cosmetics.,Crafts,Crafts,GBP,2016-12-30,100.0,2016-11-30 09:39:40,16.0,failed,2,GB,0.0,19.7,123.12
244657,314379262,Amazing Twisted Tales of Wonderland,Comics,Comics,USD,2011-02-28,3000.0,2010-12-30 03:32:36,75.0,failed,4,US,75.0,75.0,3000.0
161301,1820438654,SMITE Parodies Season 2 for 2015 (Canceled),Comedy,Film & Video,USD,2015-03-01,3500.0,2015-01-28 19:48:00,320.0,canceled,8,US,320.0,320.0,3500.0
51571,1262478450,"Rustin Ritchie - ""Dynamism""",Rock,Music,USD,2016-06-09,10000.0,2016-04-25 15:58:23,100.0,failed,2,US,100.0,100.0,10000.0
21330,110815380,Santo Remedio - A proper Mexican Cantina in London,Restaurants,Food,GBP,2017-06-07,40000.0,2017-05-02 08:24:21,45368.0,successful,406,GB,2743.9,57855.54,51010.0
20839,1105625043,Personalised Handmade Cushions!,Embroidery,Crafts,GBP,2014-11-19,300.0,2014-10-20 12:23:08,12.0,failed,2,GB,19.31,18.82,470.47
122026,161977733,Go APAf!,Journalism,Journalism,EUR,2017-10-11,6000.0,2017-09-11 16:03:51,6.0,failed,1,AT,0.0,7.09,7086.0
83067,1422425247,THE MAKING OF MY MUSIC VIDEO,R&B,Music,USD,2014-05-23,500.0,2014-04-23 21:17:01,555.0,successful,17,US,555.0,555.0,500.0
194727,1991519773,BUILD A RECYCLED HOME: CONSTRUCTION AND DOCUMENTARY,Art,Art,USD,2015-02-05,40000.0,2015-01-06 20:14:31,511.0,failed,9,US,511.0,511.0,40000.0
366698,938490207,Laser Cut Dice and Deck Boxes (Canceled),Tabletop Games,Games,USD,2015-09-09,500.0,2015-08-20 19:22:14,17.0,canceled,1,US,17.0,17.0,500.0
274872,468665812,Truamatic Brain Injury Survivor Printing Gallery Portfolio,Fine Art,Photography,USD,2015-03-27,1500.0,2015-02-10 23:13:51,0.0,failed,0,US,0.0,0.0,1500.0
308469,641243741,TOFINO,Documentary,Film & Video,CAD,2015-06-14,2710.0,2015-05-22 16:57:32,120.0,failed,4,CA,98.39,97.79,2208.46
284096,515184222,Jazz by Yas,Textiles,Art,USD,2016-11-17,5000.0,2016-10-28 08:39:02,6060.0,successful,21,US,0.0,6060.0,5000.0
